ID1,ID2,Sex,Age,"Age class (1=calf, 2=yearling, 3=adult)",Year,Location (1=Island 2=Småland 3=Sörmland 4=V-götland),Location 2 (1=Öland 2=Mainland,Weight (carcass),AP-titre (1:40-1:1280),AP-pos (at least 1:40),AP-PCR (1=pos),,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0704,19,M,0.5,1,2007,1,1,3.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0701,30,M,0.5,1,2007,1,1,44,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0702,36,M,0.5,1,2007,1,1,44,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0701,13,F,0.5,1,2007,1,1,46,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0702,14,F,0.5,1,2007,1,1,48,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0703,37,M,0.5,1,2007,1,1,48,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0704,17,F,0.5,1,2007,1,1,55,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0702,15,M,0.5,1,2007,1,1,55,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0703,16,F,0.5,1,2007,1,1,61,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0701,8,M,0.5,1,2007,1,1,62,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0703,18,M,0.5,1,2007,1,1,77,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0705,41,F,0.5,1,2007,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF0702,22,F,0.5,1,2007,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF0701,20,F,0.5,1,2007,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0705,23,M,0.5,1,2007,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0806,B14,F,0.5,1,2008,1,1,32,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0803,M6,M,0.5,1,2008,1,1,46,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0802,B19,F,0.5,1,2008,1,1,49,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0804,B4,M,0.5,1,2008,1,1,49,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF0802,M7,F,0.5,1,2008,1,1,50,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0806,B10,M,0.5,1,2008,1,1,55,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0805,B5,M,0.5,1,2008,1,1,60,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0801,B6,F,0.5,1,2008,1,1,64,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0806,B21,M,0.5,1,2008,1,1,64,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0803,B2,M,0.5,1,2008,1,1,64,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0807,B22,F,0.5,1,2008,1,1,65,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF0801,M4,F,0.5,1,2008,1,1,67,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0805,B13,F,0.5,1,2008,1,1,68,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0802,B1,M,0.5,1,2008,1,1,68,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0804,B17,F,0.5,1,2008,1,1,70,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0801,B3,M,0.5,1,2008,1,1,70,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0802,M5,M,0.5,1,2008,1,1,74,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0806,B18,M,0.5,1,2008,1,1,75,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0803,B16,F,0.5,1,2008,1,1,78,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM084,M8,M,0.5,1,2008,1,1,83,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0904,9M22,M,0.5,1,2009,1,1,36,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0903,9B17,F,0.5,1,2009,1,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0904,9B18,F,0.5,1,2009,1,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0901,9M20,M,0.5,1,2009,1,1,48,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0905,9M24,M,0.5,1,2009,1,1,48,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0904,9B19,M,0.5,1,2009,1,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0901,9B13,F,0.5,1,2009,1,1,53,1:160,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF0901,9M2,F,0.5,1,2009,1,1,55,1:160,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0902,9B15,M,0.5,1,2009,1,1,55,1:160,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0903,9M18,M,0.5,1,2009,1,1,56,1:320,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0901,9B16,M,0.5,1,2009,1,1,58,1:160,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM0903,9B10,M,0.5,1,2009,1,1,68,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF0902,9B20,F,0.5,1,2009,1,1,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF0903,9M13,F,0.5,1,2009,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF0902,9M9,F,0.5,1,2009,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM0902,9M16,M,0.5,1,2009,1,1,,1:320,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCF1001,10M9,F,0.5,3,2010,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCF1004,10J14,F,0.5,1,2010,1,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM1002,10B8,M,0.5,1,2010,1,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCM1001,10B7,M,0.5,1,2010,1,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM1003,10M8,M,0.5,1,2010,1,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMCM1001,10M7,M,0.5,1,2010,1,1,57,1:1280,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMYF0701,26,F,1.5,2,2007,1,1,112,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYF0703,3,F,1.5,2,2007,1,1,120,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMYF0705,33,F,1.5,2,2007,1,1,120,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMYF0706,35,F,1.5,2,2007,1,1,130,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYF0704,5,F,1.5,2,2007,1,1,140,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYF0702,2,F,1.5,2,2007,1,1,148,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMYF0702,27,F,1.5,2,2007,1,1,167,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMYF0704,32,F,1.5,2,2007,1,1,178,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMYF0703,31,F,1.5,2,2007,1,1,180,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBYF0705,6,F,1.5,2,2007,1,1,185,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMYF0802,Ö4M,F,1.5,2,2008,1,1,108,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
